N;FIO;Group;Rating 1;Rating 2;Rating 3;Rating 4;Rating 5;Rating 6;Rating 7;Total
1;Jon;AB-1;7,07;10,53;4,42;6,31;6,45;4,52;6,64;7
2;Mark;AB-1;11,55;10,43;9,92;5,33;5,08;3,12;7,89;8
3;Same;AB-1;1,27;6,56;1,63;2,31;0,05;6,12;0,02;3
4;David;AB-2;3,78;3,16;6,66;4,94;10,86;10,03;8,03;7
5;Yana;AB-2;10,23;9,21;6,04;0,11;6,51;3,89;3,30;6
6;Roman;AB-2;6,79;9,26;0,33;3,21;7,08;11,94;3,32;6
7;Niki;EB-1;11,70;10,56;10,08;4,29;5,71;7,30;5,68;8
8;Mary;EB-1;6,57;2,00;7,79;9,65;5,68;7,62;0,05;6
9;Collin;EB-2;6,56;3,73;6,97;0,55;3,27;8,07;3,87;5
10;Luis;EB-2;0,61;7,31;10,41;3,71;0,49;5,29;7,47;5
